"lab_method_id","code"
"1001","DGEN_S"
"1003","FAT-MJ-FLT-CHG"
"1003","FAT_AH_S"
"1004","ASHM_S"
"1005","SUGN_S"
"1007","M100T100_S"
"1007","VPI_Moisture"
"1008","TDFL_S"
"1008","FBR-SR3-CHG"
"1009","ICP_S"
"1010","SEICPMS_S"
"1010","SEMSPLUS_S"
"1011","BIDE_S"
"1012","B1LC_S"
"1013","B2FV_S"
"1014","NIAP_S"
"1015","PANN_S"
"1016","B6A_S"
"1017","FOAN_S"
"1018","NITR-BORIC-CHG"
"1019","FAT-MOJO-CHG"
"1019","FAT-MOJOAH-CHG"
"1021","FSOX_S"
"1022","ASH-CHG"
"1023","STARCH-ENZ-MRK"
"1023","STARCH-EWR-MIN"
"1023","STARCH-EWR-CHG"
"1024","SUGR-DP1-2-CHG"
"1026","SPEC-GRAV-CHG"
"1027","MO-FAO-100-CHG"
"1027","MO-FAO-125-CHG"
"1027","MUDA_S"
"1028","MO-VO-100-CHG"
"1028","MO-VO-65-CHG"
"1030","SUGR-GALAC-CHG"
"1030","SUGR-GALAC"
"1033","VITAMIN-C-CHG"
"1034","QD0IU"
"1034","THIAMINE-CHG"
"1035","RIBOFLAVIN-CHG"
"1035","QD0IV"
"1036","VIT-B3-C-MRK"
"1037","PANTO-C-MRK"
"1037","QD0IW"
"1038","VIT-B6-C-MRK"
"1039","QD0IY"
"1039","VIT-B12-C-MRK"
"1040","AMINO-CMPL-CHG"
"1041","CHOLESTRO-CHG"
"1042","FAT-BY-FAP-CHG"
"1043","CHOLINE_UNC"
"1045","VDMS_S"
"1045","MISC_6008"
"1045","VitD_HPLC_MS"
"1046","ORG2_S"
"1047","STCH_S"
"1048","Tufts-VitK"
"1049","Tufts-VitKHydro"
"1049","Tufts-VitKHydrox"
"1050","Craft_Retinol"
"1051","Carot_HPLC"
"1052","Craft_VitE"
"1053","QD0IC"
"1053","FAT_AH_P"
"1055","Choles_VPI"
"1056","VitC_VPI"
"1057","Lipid_VPI"
"1058","M100T100_V"
"1059","MO-VO-100C-CHG"
"1060","Cov_Sug"
"1061","VPI-Choles"
"1065","QD0IQ"
"1065","QD0IL"
"1065","QD0IJ"
"1065","QD0IK"
"1065","QD0IS"
"1065","QD0IM"
"1065","QD0IR"
"1065","QD0IP"
"1065","QD0IN"
"1066","QD0ID"
"1068","QD0IA"
"1069","QD0IE"
"1070","QD0IB"
"1071","IODICPMS_S"
"1072","QD0IX"
"1073","Chol_Dinh"
"1074","TAMU_FA"
"1075","CSU_FA"
"1076","TTU_AAS"
"1077","TTU_AES"
"1078","TTU_Phos"
"1080","B12_MCB"
"1081","Fat-Folch"
"1082","Prot_Dumus"
"1083","Moist_Oven"
"1084","Ash_923"
"1085","QD0J3"
"1087","AOAC_941.15"
"1088","AOAC_945.74_B5"
"1091","AOAC_968.06"
"1094","AOAC_985.29"
"1096","AOAC_989.05_932.06"
"1097","AOAC_990.26"
"1099","Cov_933.05"
"1101","Cov_Folate"
"1103","UGa_Folate"
"1107","Ames_D2"
"1112","Starch_polar"
"1116","AOAC_934.01"
"1121","AOAC_988.15"
"1122","AOAC_992.15"
"1125","Cov_B3Mod"
"1127","Cov_AA_Alk"
"1128","Cov_AA_HCl"
"1134","FCMDL_VitD"
"1136","SingleFolate"
"1138","FSIS_hydroy"
"1143","AOAC_923.03"
"1144","AOAC_933.05"
"1145","AOAC_982.30_Ninhy"
"1146","AOAC_983.23"
"1147","AOAC_989.05"
"1148","AOAC_990.03"
"1153","Cov_VitC"
"1159","UGa_VitE_2"
"1160","TriFolate_Martin"
"1161","Se_IDGC_MS"
"1165","AOAC_961.15"
"1167","AOAC_984.27"
"1169","AOAC_986.15_1"
"1171","AOAC_994.12_Perf"
"1177","Cov_Choles"
"1181","TriFolate_VPI"
"1185","AOAC_900.02"
"1193","AOAC_986.15"
"1195","AOAC_991.43_2"
"1196","AOAC_991.43_4"
"1198","AOAC_994.12_HPLC"
"1207","AAOAC_985.01_984.27"
"1208","AOAC_942.23"
"1211","AOAC_960.47"
"1213","AOAC_991.42"
"1214","AOAC_993.19"
"1216","Lysine_Chem"
"1217","AOCS_Ce1-62"
"1220","EN_Sug"
"1222","Carot_FCL"
"1224","USDA_Trypto"
"1229","AOAC_955.04_N"
"1230","AOAC_966.11"
"1232","AOAC_981.10_39.1"
"1235","B1_B2_HPLC"
"1238","TriFolate"
"1242","AOAC_925.51"
"1243","AOAC_930.15"
"1244","AOAC_940.33"
"1246","AOAC_967.21"
"1249","AOAC_985.32"
"1250","AOAC_991.43_1"
"1253","Cov_AA_Perfor"
"1254","Cov_Panto"
"1255","FA_FDA"
"1256","Moisture_60"
"1257","STR_AA"
"1260","BIOM_S"
"1261","QD0IZ"
"1262","Phytosterols1_VPI"
"1263","TDFM_S"
"1264","QD0GI"
"1265","QD06V"
"1266","QQ022"
"1267","YI00A"
"1268","YI0A4"
"1269","MoistureVacuumDrying_VPI"
"1270","Ash_VPI"
"1271","TotalVitaminD_VPI"
"1272","AOAC_ISOF_HPLC"
"1272","DaidzeinPlaceHolder"
"1272",""
"1273","Ergothioneine via HPLC"
"1274","SterolsDSP_VPI"
"1275","HPAE-PAD"
"1276","Megazyme-Enzymatic Yeast Beta-Glucan Kit Assay Kit"
"1277","beta-Glucan Assay Kit (Mixed Linkage) AOAC 995.16"
"1278","CODEX-FBR-CHG"
"1279","QD062"
"1280","QD062"
